Date,MH_Onion,WB_Potato,WB_Onion,Kolkata_Diesel
16-07-2024,2642.97,2524.59,3412.17,91.76
17-07-2024,2506.27,2543.86,3417.81,91.76
18-07-2024,2600.61,2516.21,3406.99,91.76
19-07-2024,2585.69,2511.65,3350.72,91.76
20-07-2024,2502.11,2505.36,3298.01,91.76
21-07-2024,2334.9,2503.54,3285.86,91.76
22-07-2024,2579.19,2546.41,3433.36,91.76
23-07-2024,2490.23,2632.8,3433.83,91.76
24-07-2024,2554.37,2778.5,3503.11,91.76
25-07-2024,2508.12,2630.07,3451.68,91.76
26-07-2024,2587.57,2591.15,3432.05,91.76
27-07-2024,2519.83,2584.53,3376.13,91.76
28-07-2024,2359.16,2566.96,3371.93,91.76
29-07-2024,2513.26,2540.67,3453.88,91.76
30-07-2024,2580.93,2538.09,3434.37,91.76
31-07-2024,2524,2495.34,3469.16,91.76
01-08-2024,2492.66,2445.81,3430.7,91.76
02-08-2024,2402.08,2443.57,3419.68,91.76
03-08-2024,2488.63,2418.44,3354.91,91.76
04-08-2024,2409.82,2411.98,3361.6,91.76
05-08-2024,2551.9,2419.01,3404.75,91.76
06-08-2024,2583.02,2440.05,3412.35,91.76
07-08-2024,2785.19,2431.18,3455.27,91.76
08-08-2024,2784.49,2416.75,3546.35,91.76
09-08-2024,2740.9,2396.2,3559.36,91.76
10-08-2024,3003.63,2401.9,3552.4,91.76
11-08-2024,3009.87,2392.71,3531.66,91.76
12-08-2024,3157.63,2438.43,3682.51,91.76
13-08-2024,3037.85,2390.49,3874.28,91.76
14-08-2024,3086.4,2384.16,3887.76,91.76
15-08-2024,2871.23,2382.62,3734.1,91.76
16-08-2024,3058.64,2378.74,3877.04,91.76
17-08-2024,3030.24,2381.3,3873.69,91.76
18-08-2024,2942.35,2393.97,3819.96,91.76
19-08-2024,3012.53,2379.19,3846.46,91.76
20-08-2024,3215.72,2383.77,3869.19,91.76
21-08-2024,3468.35,2395.58,3925.58,91.76
22-08-2024,3662.47,2389.71,3887.95,91.76
23-08-2024,3512.31,2375.32,3898.31,91.76
24-08-2024,3508.46,2378.59,3912.43,91.76
25-08-2024,3395.39,2481.78,3851.45,91.76
26-08-2024,3556.69,2371.42,3957.4,91.76
27-08-2024,3524.81,2369.59,4065.63,91.76
28-08-2024,3511.56,2384.84,4068.92,91.76
29-08-2024,3380.48,2379.76,4085.76,91.76
30-08-2024,3203.07,2375.45,4025.43,91.76
31-08-2024,3327.96,2369.86,3945.71,91.76
01-09-2024,3376.01,2378.16,4047.14,91.76
02-09-2024,3604.03,2372.48,4056.34,91.76
03-09-2024,3969.7,2371.82,4185.28,91.76
04-09-2024,3733.9,2370.84,4207.75,91.76
05-09-2024,3752.59,2364.37,4159.37,91.76
06-09-2024,3575.47,2350.45,4284.77,91.76
07-09-2024,3544.16,2346.97,4398.69,91.76
08-09-2024,3700.55,2368.42,4363.62,91.76
09-09-2024,3635.38,2344.59,4408.09,91.76
10-09-2024,3762.76,2342.97,4406.55,91.76
11-09-2024,3682.24,2331.43,4345.07,91.76
12-09-2024,3758.15,2322.43,4333.71,91.76
13-09-2024,3704.77,2320.01,4336.31,91.76
14-09-2024,4205.85,2332.45,4359.22,91.76
15-09-2024,4046.73,2336.19,4344.98,91.76
16-09-2024,4246.5,2333.04,4384.07,91.76
17-09-2024,4016.96,2331.05,4494.28,91.76
18-09-2024,3952.11,2333.68,4527.48,91.76
19-09-2024,4134.69,2325.87,4474.46,91.76
20-09-2024,4131.52,2338.18,4556.39,91.76
21-09-2024,4227.19,2353.85,4538.23,91.76
22-09-2024,4081.7,2354.22,4541.59,91.76
23-09-2024,4184.86,2353.32,4559.51,91.76
24-09-2024,4262.87,2371.07,4691.51,91.76
25-09-2024,3806.55,2377.19,4624.36,91.76
26-09-2024,4155.64,2396.43,4600.7,91.76
27-09-2024,3888.72,2389.52,4653.04,91.76
28-09-2024,3646.67,2382.14,4511.06,91.76
29-09-2024,3391.23,2411.27,4584.5,91.76
30-09-2024,3433.44,2399.26,4625.92,91.76
01-10-2024,3494.13,2420.15,4626.82,91.76
02-10-2024,3498.69,2420.38,4565.81,91.76
03-10-2024,3621.2,2422.25,4571.72,91.76
04-10-2024,3761.33,2422.21,4531.91,91.76
05-10-2024,3547.56,2429.44,4496.19,91.76
