All Type of Report (All Grades) for 01-Apr-2024 to 31-Mar-2026,,,,,,,,,,
State,Commodity Group,Commodity,Date,MSP,Arrival Quantity 01-04-2024 to 31-03-2026,Arrival Unit,Min Price 01-04-2024 to 31-03-2026,Modal Price,Max Price 01-04-2024 to 31-03-2026,Price Unit
Maharashtra,Vegetables,Potato,26-04-2024,-,"2,195.90",Metric Tonnes,"1,777.38","2,100.94","2,422.05",Rs./Quintal
Maharashtra,Vegetables,Onion,27-04-2024,-,"11,729.61",Metric Tonnes,533.7,"1,186.52","1,627.80",Rs./Quintal
Maharashtra,Vegetables,Potato,27-04-2024,-,"2,393.20",Metric Tonnes,"1,619.22","2,016.64","2,341.72",Rs./Quintal
Maharashtra,Vegetables,Onion,28-04-2024,-,"6,330.13",Metric Tonnes,562.83,"1,164.87","1,588.25",Rs./Quintal
Maharashtra,Vegetables,Potato,28-04-2024,-,"1,505.90",Metric Tonnes,"1,883.18","2,198.61","2,515.43",Rs./Quintal
Maharashtra,Vegetables,Onion,29-04-2024,-,"22,446.05",Metric Tonnes,443.54,"1,188.49","1,608.09",Rs./Quintal
Maharashtra,Vegetables,Potato,29-04-2024,-,"2,058.00",Metric Tonnes,"1,567.30","1,948.47","2,295.41",Rs./Quintal
Maharashtra,Vegetables,Onion,30-04-2024,-,"17,914.72",Metric Tonnes,518.83,"1,260.15","1,690.90",Rs./Quintal
Maharashtra,Vegetables,Potato,30-04-2024,-,"2,138.90",Metric Tonnes,"1,703.94","2,089.77","2,392.92",Rs./Quintal
Maharashtra,Vegetables,Onion,01-05-2024,-,"2,480.20",Metric Tonnes,297.4,"1,125.79","1,578.94",Rs./Quintal
Maharashtra,Vegetables,Potato,01-05-2024,-,137.7,Metric Tonnes,"1,207.19","1,871.28","2,505.74",Rs./Quintal
Maharashtra,Vegetables,Onion,02-05-2024,-,"18,586.60",Metric Tonnes,526.37,"1,238.78","1,665.66",Rs./Quintal
Maharashtra,Vegetables,Potato,02-05-2024,-,"3,536.60",Metric Tonnes,"1,688.28","2,060.65","2,505.77",Rs./Quintal
Maharashtra,Vegetables,Onion,03-05-2024,-,"13,250.00",Metric Tonnes,531.76,"1,320.78","1,872.12",Rs./Quintal
Maharashtra,Vegetables,Potato,03-05-2024,-,"2,490.20",Metric Tonnes,"1,683.02","2,036.49","2,394.65",Rs./Quintal
Maharashtra,Vegetables,Onion,04-05-2024,-,"26,024.21",Metric Tonnes,732.58,"1,653.96","2,169.70",Rs./Quintal
Maharashtra,Vegetables,Potato,04-05-2024,-,"3,452.40",Metric Tonnes,"1,931.90","2,190.53","2,414.81",Rs./Quintal
Maharashtra,Vegetables,Onion,05-05-2024,-,"8,184.68",Metric Tonnes,722.9,"1,607.81","2,347.66",Rs./Quintal
Maharashtra,Vegetables,Potato,05-05-2024,-,"1,651.30",Metric Tonnes,"1,756.86","2,210.93","2,579.13",Rs./Quintal
Maharashtra,Vegetables,Onion,06-05-2024,-,"51,329.38",Metric Tonnes,566.16,"1,577.69","2,127.45",Rs./Quintal
Maharashtra,Vegetables,Potato,06-05-2024,-,"2,883.50",Metric Tonnes,"1,614.34","2,003.68","2,349.06",Rs./Quintal
Maharashtra,Vegetables,Onion,07-05-2024,-,"31,551.58",Metric Tonnes,688.41,"1,528.61","2,015.28",Rs./Quintal
Maharashtra,Vegetables,Potato,07-05-2024,-,"1,326.00",Metric Tonnes,"1,789.40","2,196.66","2,503.44",Rs./Quintal
Maharashtra,Vegetables,Onion,08-05-2024,-,"35,343.69",Metric Tonnes,463.11,"1,360.08","1,960.78",Rs./Quintal
Maharashtra,Vegetables,Potato,08-05-2024,-,"2,058.50",Metric Tonnes,"1,589.72","1,968.17","2,273.57",Rs./Quintal
Maharashtra,Vegetables,Onion,09-05-2024,-,"45,806.40",Metric Tonnes,399.48,"1,236.09","1,656.90",Rs./Quintal
Maharashtra,Vegetables,Potato,09-05-2024,-,"2,136.30",Metric Tonnes,"1,793.53","2,176.36","2,536.33",Rs./Quintal
Maharashtra,Vegetables,Onion,10-05-2024,-,"14,361.28",Metric Tonnes,518.73,"1,368.42","1,987.19",Rs./Quintal
Maharashtra,Vegetables,Potato,10-05-2024,-,"1,586.60",Metric Tonnes,"1,687.07","2,125.84","2,578.31",Rs./Quintal
Maharashtra,Vegetables,Onion,11-05-2024,-,"22,277.57",Metric Tonnes,465.84,"1,323.54","1,882.06",Rs./Quintal
